text,chest_pain,shortness_of_breath,palpitations,exercise_worse,hypertension,dizziness,sweating,fatigue,swelling,orthopnea
no symptoms on exertion,-1,-1,-1,0,-1,-1,-1,-1,-1,-1
exercise does not make symptoms worse,-1,-1,-1,0,-1,-1,-1,-1,-1,-1
لدي ارتفاع في ضغط الدم,-1,-1,-1,-1,1,-1,-1,-1,-1,-1
أعاني من الضغط المرتفع,-1,-1,-1,-1,1,-1,-1,-1,-1,-1
تم تشخيصي بارتفاع الضغط,-1,-1,-1,-1,1,-1,-1,-1,-1,-1
ضغط دمي مرتفع,-1,-1,-1,-1,1,-1,-1,-1,-1,-1
I have hypertension,-1,-1,-1,-1,1,-1,-1,-1,-1,-1
history of high blood pressure,-1,-1,-1,-1,1,-1,-1,-1,-1,-1
ليس لدي ارتفاع ضغط الدم,-1,-1,-1,-1,0,-1,-1,-1,-1,-1
لا أعاني من الضغط,-1,-1,-1,-1,0,-1,-1,-1,-1,-1
ضغط دمي غير مرتفع,-1,-1,-1,-1,0,-1,-1,-1,-1,-1
no hypertension,-1,-1,-1,-1,0,-1,-1,-1,-1,-1
no history of high blood pressure,-1,-1,-1,-1,0,-1,-1,-1,-1,-1
أشعر بالدوخة,-1,-1,-1,-1,-1,1,-1,-1,-1,-1
دوخة,-1,-1,-1,-1,-1,1,-1,-1,-1,-1
أحس بدوار خفيف,-1,-1,-1,-1,-1,1,-1,-1,-1,-1
أشعر أنني سأفقد التوازن,-1,-1,-1,-1,-1,1,-1,-1,-1,-1
لدي دوار,-1,-1,-1,-1,-1,1,-1,-1,-1,-1
I feel dizzy,-1,-1,-1,-1,-1,1,-1,-1,-1,-1
I am lightheaded,-1,-1,-1,-1,-1,1,-1,-1,-1,-1
لا أشعر بالدوخة,-1,-1,-1,-1,-1,0,-1,-1,-1,-1
لا يوجد دوار,-1,-1,-1,-1,-1,0,-1,-1,-1,-1
توازني طبيعي,-1,-1,-1,-1,-1,0,-1,-1,-1,-1
I am not dizzy,-1,-1,-1,-1,-1,0,-1,-1,-1,-1
no lightheadedness,-1,-1,-1,-1,-1,0,-1,-1,-1,-1
أتعرق أكثر من المعتاد,-1,-1,-1,-1,-1,-1,1,-1,-1,-1
لدي تعرق شديد,-1,-1,-1,-1,-1,-1,1,-1,-1,-1
تعرق شديد,-1,-1,-1,-1,-1,-1,1,-1,-1,-1
أشعر بعرق غزير,-1,-1,-1,-1,-1,-1,1,-1,-1,-1
زاد التعرق بشكل واضح,-1,-1,-1,-1,-1,-1,1,-1,-1,-1
I am sweating heavily,-1,-1,-1,-1,-1,-1,1,-1,-1,-1
significantly increased sweating,-1,-1,-1,-1,-1,-1,1,-1,-1,-1
لا يوجد تعرق زائد,-1,-1,-1,-1,-1,-1,0,-1,-1,-1
لا أتعرق أكثر من المعتاد,-1,-1,-1,-1,-1,-1,0,-1,-1,-1
ليس لدي عرق غزير,-1,-1,-1,-1,-1,-1,0,-1,-1,-1
no increased sweating,-1,-1,-1,-1,-1,-1,0,-1,-1,-1
I am not sweating heavily,-1,-1,-1,-1,-1,-1,0,-1,-1,-1
أشعر بتعب شديد,-1,-1,-1,-1,-1,-1,-1,1,-1,-1
تعب شديد,-1,-1,-1,-1,-1,-1,-1,1,-1,-1
أتعب بسرعة,-1,-1,-1,-1,-1,-1,-1,1,-1,-1
لدي إرهاق غير معتاد,-1,-1,-1,-1,-1,-1,-1,1,-1,-1
طاقتي منخفضة,-1,-1,-1,-1,-1,-1,-1,1,-1,-1
I feel unusually tired,-1,-1,-1,-1,-1,-1,-1,1,-1,-1
severe fatigue,-1,-1,-1,-1,-1,-1,-1,1,-1,-1
لا أشعر بتعب,-1,-1,-1,-1,-1,-1,-1,0,-1,-1
طاقتي طبيعية,-1,-1,-1,-1,-1,-1,-1,0,-1,-1
ليس لدي إرهاق,-1,-1,-1,-1,-1,-1,-1,0,-1,-1
no fatigue,-1,-1,-1,-1,-1,-1,-1,0,-1,-1
I do not feel tired,-1,-1,-1,-1,-1,-1,-1,0,-1,-1
لدي تورم في القدمين,-1,-1,-1,-1,-1,-1,-1,-1,1,-1
تورم في القدمين,-1,-1,-1,-1,-1,-1,-1,-1,1,-1
ساقاي متورمتان,-1,-1,-1,-1,-1,-1,-1,-1,1,-1
ألاحظ انتفاخ الكاحلين,-1,-1,-1,-1,-1,-1,-1,-1,1,-1
يوجد تورم بالساق,-1,-1,-1,-1,-1,-1,-1,-1,1,-1
my ankles are swollen,-1,-1,-1,-1,-1,-1,-1,-1,1,-1
swelling in my legs,-1,-1,-1,-1,-1,-1,-1,-1,1,-1
لا يوجد تورم في القدمين,-1,-1,-1,-1,-1,-1,-1,-1,0,-1
ساقاي غير متورمتين,-1,-1,-1,-1,-1,-1,-1,-1,0,-1
لا أعاني من انتفاخ الكاحل,-1,-1,-1,-1,-1,-1,-1,-1,0,-1
no leg swelling,-1,-1,-1,-1,-1,-1,-1,-1,0,-1
my ankles are not swollen,-1,-1,-1,-1,-1,-1,-1,-1,0,-1
تزداد الأعراض عند الاستلقاء وتتحسن عند الجلوس,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
الأعراض تسوء عند الاستلقاء,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
يضيق نفسي عندما أستلقي,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
أرتاح في التنفس عندما أجلس,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
الأعراض أسوأ وأنا مستلق,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
symptoms are worse lying down and improve sitting up,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
breathless when lying flat,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
لا تسوء الأعراض عند الاستلقاء,-1,-1,-1,-1,-1,-1,-1,-1,-1,0
أتنفس طبيعيًا وأنا مستلق,-1,-1,-1,-1,-1,-1,-1,-1,-1,0
الاستلقاء لا يزيد ضيق النفس,-1,-1,-1,-1,-1,-1,-1,-1,-1,0
not worse when lying down,-1,-1,-1,-1,-1,-1,-1,-1,-1,0
I can breathe lying flat,-1,-1,-1,-1,-1,-1,-1,-1,-1,0
أريد تسجيل قياساتي,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
هذه متابعة دورية,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
لا أعرف كيف أصف حالتي,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
أدخلت العمر والضغط,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
I want to enter my readings,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
this is a routine check,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
أشعر بألم في صدري لكن my heartbeat feels regular,1,-1,0,-1,-1,-1,-1,-1,-1,-1
أشعر بألم في صدري. لا أعاني من الضغط,1,-1,-1,-1,0,-1,-1,-1,-1,-1
"لدي ضغط على الصدر. Also, I can breathe lying flat",1,-1,-1,-1,-1,-1,-1,-1,-1,0
لدي ضغط على الصدر، ولا أشعر بضيق في التنفس,1,0,-1,-1,-1,-1,-1,-1,-1,-1
صدري يؤلمني، وno history of high blood pressure,1,-1,-1,-1,0,-1,-1,-1,-1,-1
"صدري يؤلمني. Also, الأعراض تسوء عند الاستلقاء",1,-1,-1,-1,-1,-1,-1,-1,-1,1
"أحس بثقل في الصدر. Also, لا يوجد دوار",1,-1,-1,-1,-1,0,-1,-1,-1,-1
أحس بثقل في الصدر، ولدي تعرق شديد,1,-1,-1,-1,-1,-1,1,-1,-1,-1
"يوجد وجع بالصدر. Also, لا يوجد تعرق زائد",1,-1,-1,-1,-1,-1,0,-1,-1,-1
يوجد وجع بالصدر لكن لدي تسارع في ضربات القلب,1,-1,1,-1,-1,-1,-1,-1,-1,-1
chest pain. difficulty breathing,1,1,-1,-1,-1,-1,-1,-1,-1,-1
chest pain لكن I do not feel tired,1,-1,-1,-1,-1,-1,-1,0,-1,-1
I feel pressure in my chest. لا يوجد تعرق زائد,1,-1,-1,-1,-1,-1,0,-1,-1,-1
I feel pressure in my chest، ولدي ارتفاع في ضغط الدم,1,-1,-1,-1,1,-1,-1,-1,-1,-1
"my chest hurts. Also, أحس برفرفة في صدري",1,-1,1,-1,-1,-1,-1,-1,-1,-1
my chest hurts لكن ليس لدي عرق غزير,1,-1,-1,-1,-1,-1,0,-1,-1,-1
لا أشعر بألم في الصدر. history of high blood pressure,0,-1,-1,-1,1,-1,-1,-1,-1,-1
"لا أشعر بألم في الصدر. Also, لا يؤلمني صدري عند المشي",0,-1,-1,0,-1,-1,-1,-1,-1,-1
ليس لدي وجع بالصدر، وI feel unusually tired,0,-1,-1,-1,-1,-1,-1,1,-1,-1
ليس لدي وجع بالصدر. لا أتعرق أكثر من المعتاد,0,-1,-1,-1,-1,-1,0,-1,-1,-1
صدري لا يؤلمني. تعرق شديد,0,-1,-1,-1,-1,-1,1,-1,-1,-1
"صدري لا يؤلمني. Also, أعاني من الضغط المرتفع",0,-1,-1,-1,1,-1,-1,-1,-1,-1
لا يوجد ضغط على صدري لكن تعب شديد,0,-1,-1,-1,-1,-1,-1,1,-1,-1
لا يوجد ضغط على صدري لكن exercise does not make symptoms worse,0,-1,-1,0,-1,-1,-1,-1,-1,-1
no chest pain، وأتعب بسرعة,0,-1,-1,-1,-1,-1,-1,1,-1,-1
no chest pain. يؤلمني صدري أثناء المشي,1,-1,-1,1,-1,-1,-1,-1,-1,-1
my chest does not hurt، وmy heartbeat feels regular,0,-1,0,-1,-1,-1,-1,-1,-1,-1
"my chest does not hurt. Also, no fatigue",0,-1,-1,-1,-1,-1,-1,0,-1,-1
أشعر بضيق في التنفس. يوجد تورم بالساق,-1,1,-1,-1,-1,-1,-1,-1,1,-1
أشعر بضيق في التنفس. لدي تسارع في ضربات القلب,-1,1,1,-1,-1,-1,-1,-1,-1,-1
"ضيق في التنفس. Also, دوخة",-1,1,-1,-1,-1,1,-1,-1,-1,-1
ضيق في التنفس. صدري يؤلمني,1,1,-1,-1,-1,-1,-1,-1,-1,-1
نفسي قصير لكن لا يوجد دوار,-1,1,-1,-1,-1,0,-1,-1,-1,-1
نفسي قصير لكن exercise does not make symptoms worse,-1,1,-1,0,-1,-1,-1,-1,-1,-1
لا أستطيع التنفس بسهولة لكن لا يوجد تورم في القدمين,-1,1,-1,-1,-1,-1,-1,-1,0,-1
لا أستطيع التنفس بسهولة، ولا أشعر بالدوخة,-1,1,-1,-1,-1,0,-1,-1,-1,-1
"أعاني من صعوبة بالتنفس. Also, my heartbeat feels regular",-1,1,0,-1,-1,-1,-1,-1,-1,-1
"أعاني من صعوبة بالتنفس. Also, دقات قلبي منتظمة",-1,1,0,-1,-1,-1,-1,-1,-1,-1
"أحس أن الهواء لا يكفيني. Also, الاستلقاء لا يزيد ضيق النفس",-1,1,-1,-1,-1,-1,-1,-1,-1,0
"أحس أن الهواء لا يكفيني. Also, ضغط دمي غير مرتفع",-1,1,-1,-1,0,-1,-1,-1,-1,-1
"shortness of breath. Also, زاد التعرق بشكل واضح",-1,1,-1,-1,-1,-1,1,-1,-1,-1
shortness of breath. دقات قلبي منتظمة,-1,1,0,-1,-1,-1,-1,-1,-1,-1
I am breathless، وI am not sweating heavily,-1,1,-1,-1,-1,-1,0,-1,-1,-1
I am breathless. ليس لدي ارتفاع ضغط الدم,-1,1,-1,-1,0,-1,-1,-1,-1,-1
difficulty breathing لكن ليس لدي ارتفاع ضغط الدم,-1,1,-1,-1,0,-1,-1,-1,-1,-1
"difficulty breathing. Also, لا يوجد تسارع في القلب",-1,1,0,-1,-1,-1,-1,-1,-1,-1
"لا أشعر بضيق في التنفس. Also, no history of high blood pressure",-1,0,-1,-1,0,-1,-1,-1,-1,-1
لا أشعر بضيق في التنفس، وضغط دمي مرتفع,-1,0,-1,-1,1,-1,-1,-1,-1,-1
"تنفسي طبيعي. Also, my heartbeat feels regular",-1,0,0,-1,-1,-1,-1,-1,-1,-1
"تنفسي طبيعي. Also, أشعر بعرق غزير",-1,0,-1,-1,-1,-1,1,-1,-1,-1
"لا أعاني من صعوبة بالتنفس. Also, لا أشعر بألم في الصدر",0,0,-1,-1,-1,-1,-1,-1,-1,-1
لا أعاني من صعوبة بالتنفس، ولا أتعرق أكثر من المعتاد,-1,0,-1,-1,-1,-1,0,-1,-1,-1
"لا يوجد ضيق نفس. Also, أعاني من الضغط المرتفع",-1,0,-1,-1,1,-1,-1,-1,-1,-1
لا يوجد ضيق نفس، والأعراض تزداد مع النشاط وتخف بالراحة,-1,0,-1,1,-1,-1,-1,-1,-1,-1
no shortness of breath. my heart is racing,-1,0,1,-1,-1,-1,-1,-1,-1,-1
no shortness of breath، ولا أشعر بألم في الصدر,0,0,-1,-1,-1,-1,-1,-1,-1,-1
"I breathe normally. Also, الأعراض تزداد مع النشاط وتخف بالراحة",-1,0,-1,1,-1,-1,-1,-1,-1,-1
I breathe normally، ولدي ارتفاع في ضغط الدم,-1,0,-1,-1,1,-1,-1,-1,-1,-1
أشعر بخفقان في القلب لكن no fatigue,-1,-1,1,-1,-1,-1,-1,0,-1,-1
"أشعر بخفقان في القلب. Also, ألاحظ انتفاخ الكاحلين",-1,-1,1,-1,-1,-1,-1,-1,1,-1
لدي خفقان، ولا يوجد ألم عند صعود الدرج,-1,-1,1,0,-1,-1,-1,-1,-1,-1
لدي خفقان لكن my chest does not hurt,0,-1,1,-1,-1,-1,-1,-1,-1,-1
"دقات قلبي غير منتظمة. Also, no chest pain",0,-1,1,-1,-1,-1,-1,-1,-1,-1
دقات قلبي غير منتظمة. لا تسوء الأعراض عند الاستلقاء,-1,-1,1,-1,-1,-1,-1,-1,-1,0
قلبي يدق بسرعة. exercise does not make symptoms worse,-1,-1,1,0,-1,-1,-1,-1,-1,-1
قلبي يدق بسرعة، ولدي ارتفاع في ضغط الدم,-1,-1,1,-1,1,-1,-1,-1,-1,-1
أحس برفرفة في صدري لكن لا يوجد ضغط على صدري,0,-1,1,-1,-1,-1,-1,-1,-1,-1
أحس برفرفة في صدري، وتوازني طبيعي,-1,-1,1,-1,-1,0,-1,-1,-1,-1
لدي تسارع في ضربات القلب لكن دوخة,-1,-1,1,-1,-1,1,-1,-1,-1,-1
لدي تسارع في ضربات القلب. swelling in my legs,-1,-1,1,-1,-1,-1,-1,-1,1,-1
heart palpitations. لدي ضغط على الصدر,1,-1,1,-1,-1,-1,-1,-1,-1,-1
heart palpitations لكن I can breathe lying flat,-1,-1,1,-1,-1,-1,-1,-1,-1,0
my heartbeat feels irregular، ويؤلمني صدري أثناء المشي,1,-1,1,1,-1,-1,-1,-1,-1,-1
"my heartbeat feels irregular. Also, لدي تعرق شديد",-1,-1,1,-1,-1,-1,1,-1,-1,-1
my heart is racing. الأعراض أسوأ وأنا مستلق,-1,-1,1,-1,-1,-1,-1,-1,-1,1
my heart is racing. symptoms are worse lying down and improve sitting up,-1,-1,1,-1,-1,-1,-1,-1,-1,1
لا أشعر بخفقان. يؤلمني صدري أثناء المشي,1,-1,0,1,-1,-1,-1,-1,-1,-1
لا أشعر بخفقان لكن الاستلقاء لا يزيد ضيق النفس,-1,-1,0,-1,-1,-1,-1,-1,-1,0
دقات قلبي منتظمة لكن أعاني من الضغط المرتفع,-1,-1,0,-1,1,-1,-1,-1,-1,-1
دقات قلبي منتظمة. يضيق نفسي عندما أستلقي,-1,-1,0,-1,-1,-1,-1,-1,-1,1
لا يوجد تسارع في القلب. أعاني من صعوبة بالتنفس,-1,1,0,-1,-1,-1,-1,-1,-1,-1
لا يوجد تسارع في القلب لكن صدري يؤلمني,1,-1,0,-1,-1,-1,-1,-1,-1,-1
"لا أحس برفرفة. Also, exertional chest pain",1,-1,0,1,-1,-1,-1,-1,-1,-1
لا أحس برفرفة. لا تسوء الأعراض عند الاستلقاء,-1,-1,0,-1,-1,-1,-1,-1,-1,0
no palpitations، ولا يوجد ألم عند صعود الدرج,-1,-1,0,0,-1,-1,-1,-1,-1,-1
no palpitations لكن لا أشعر بتعب,-1,-1,0,-1,-1,-1,-1,0,-1,-1
my heartbeat feels regular، وليس لدي عرق غزير,-1,-1,0,-1,-1,-1,0,-1,-1,-1
"my heartbeat feels regular. Also, ضغط دمي غير مرتفع",-1,-1,0,-1,0,-1,-1,-1,-1,-1
أشعر بألم الصدر عند صعود الدرج، ودقات قلبي منتظمة,1,-1,0,1,-1,-1,-1,-1,-1,-1
أشعر بألم الصدر عند صعود الدرج لكن طاقتي طبيعية,1,-1,-1,1,-1,-1,-1,0,-1,-1
يؤلمني صدري أثناء المشي، وليس لدي إرهاق,1,-1,-1,1,-1,-1,-1,0,-1,-1
"يؤلمني صدري أثناء المشي. Also, أشعر بضيق في التنفس",1,1,-1,1,-1,-1,-1,-1,-1,-1
ألم الصدر يظهر مع المجهود لكن no hypertension,1,-1,-1,1,0,-1,-1,-1,-1,-1
ألم الصدر يظهر مع المجهود. لا يوجد دوار,1,-1,-1,1,-1,0,-1,-1,-1,-1
أشعر بألم في صدري عند صعود الدرج لكن تم تشخيصي بارتفاع الضغط,1,-1,-1,1,1,-1,-1,-1,-1,-1
"أشعر بألم في صدري عند صعود الدرج. Also, أحس أن الهواء لا يكفيني",1,1,-1,1,-1,-1,-1,-1,-1,-1
ألم في صدري عندما أبذل مجهودا. تزداد الأعراض عند الاستلقاء وتتحسن عند الجلوس,1,-1,-1,1,-1,-1,-1,-1,-1,1
ألم في صدري عندما أبذل مجهودا لكن no lightheadedness,1,-1,-1,1,-1,0,-1,-1,-1,-1
"صدري يؤلمني مع المجهود. Also, no chest pain",1,-1,-1,1,-1,-1,-1,-1,-1,-1
صدري يؤلمني مع المجهود. أشعر بعرق غزير,1,-1,-1,1,-1,-1,1,-1,-1,-1
أحس بضغط في الصدر عند الرياضة. ليس لدي إرهاق,1,-1,-1,1,-1,-1,-1,0,-1,-1
أحس بضغط في الصدر عند الرياضة، وI do not feel tired,1,-1,-1,1,-1,-1,-1,0,-1,-1
الأعراض تزداد مع النشاط وتخف بالراحة لكن أتعرق أكثر من المعتاد,-1,-1,-1,1,-1,-1,1,-1,-1,-1
الأعراض تزداد مع النشاط وتخف بالراحة لكن ليس لدي عرق غزير,-1,-1,-1,1,-1,-1,0,-1,-1,-1
exertional chest pain لكن لدي إرهاق غير معتاد,1,-1,-1,1,-1,-1,-1,1,-1,-1
"exertional chest pain. Also, أتنفس طبيعيًا وأنا مستلق",1,-1,-1,1,-1,-1,-1,-1,-1,0
symptoms get worse with exercise and improve with rest لكن I do not feel tired,-1,-1,-1,1,-1,-1,-1,0,-1,-1
symptoms get worse with exercise and improve with rest لكن ليس لدي إرهاق,-1,-1,-1,1,-1,-1,-1,0,-1,-1
لا تزداد الأعراض مع المجهود لكن I have hypertension,-1,-1,-1,0,1,-1,-1,-1,-1,-1
لا تزداد الأعراض مع المجهود، وألاحظ انتفاخ الكاحلين,-1,-1,-1,0,-1,-1,-1,-1,1,-1
لا يؤلمني صدري عند المشي، وbreathless when lying flat,-1,-1,-1,0,-1,-1,-1,-1,-1,1
لا يؤلمني صدري عند المشي لكن difficulty breathing,-1,1,-1,0,-1,-1,-1,-1,-1,-1
لا يوجد ألم عند صعود الدرج لكن I breathe normally,-1,0,-1,0,-1,-1,-1,-1,-1,-1
لا يوجد ألم عند صعود الدرج. لا أعاني من الضغط,-1,-1,-1,0,0,-1,-1,-1,-1,-1
no symptoms on exertion. لا يوجد ضغط على صدري,0,-1,-1,0,-1,-1,-1,-1,-1,-1
no symptoms on exertion، وmy ankles are swollen,-1,-1,-1,0,-1,-1,-1,-1,1,-1
exercise does not make symptoms worse، ولدي إرهاق غير معتاد,-1,-1,-1,0,-1,-1,-1,1,-1,-1
"exercise does not make symptoms worse. Also, لا أشعر بخفقان",-1,-1,0,0,-1,-1,-1,-1,-1,-1
"لدي ارتفاع في ضغط الدم. Also, exercise does not make symptoms worse",-1,-1,-1,0,1,-1,-1,-1,-1,-1
"لدي ارتفاع في ضغط الدم. Also, لا أشعر بألم في الصدر",0,-1,-1,-1,1,-1,-1,-1,-1,-1
أعاني من الضغط المرتفع لكن my heart is racing,-1,-1,1,-1,1,-1,-1,-1,-1,-1
"أعاني من الضغط المرتفع. Also, swelling in my legs",-1,-1,-1,-1,1,-1,-1,-1,1,-1
تم تشخيصي بارتفاع الضغط لكن my heartbeat feels irregular,-1,-1,1,-1,1,-1,-1,-1,-1,-1
"تم تشخيصي بارتفاع الضغط. Also, exertional chest pain",1,-1,-1,1,1,-1,-1,-1,-1,-1
ضغط دمي مرتفع. الأعراض تزداد مع النشاط وتخف بالراحة,-1,-1,-1,1,1,-1,-1,-1,-1,-1
ضغط دمي مرتفع لكن توازني طبيعي,-1,-1,-1,-1,1,0,-1,-1,-1,-1
I have hypertension، ولا أتعرق أكثر من المعتاد,-1,-1,-1,-1,1,-1,0,-1,-1,-1
I have hypertension، وألم الصدر يظهر مع المجهود,1,-1,-1,1,1,-1,-1,-1,-1,-1
history of high blood pressure لكن shortness of breath,-1,1,-1,-1,1,-1,-1,-1,-1,-1
history of high blood pressure. أرتاح في التنفس عندما أجلس,-1,-1,-1,-1,1,-1,-1,-1,-1,1
ليس لدي ارتفاع ضغط الدم. أحس بضغط في الصدر عند الرياضة,1,-1,-1,1,0,-1,-1,-1,-1,-1
ليس لدي ارتفاع ضغط الدم لكن أشعر بتعب شديد,-1,-1,-1,-1,0,-1,-1,1,-1,-1
"لا أعاني من الضغط. Also, I am lightheaded",-1,-1,-1,-1,0,1,-1,-1,-1,-1
لا أعاني من الضغط، وnot worse when lying down,-1,-1,-1,-1,0,-1,-1,-1,-1,0
ضغط دمي غير مرتفع. أشعر أنني سأفقد التوازن,-1,-1,-1,-1,0,1,-1,-1,-1,-1
"ضغط دمي غير مرتفع. Also, I feel unusually tired",-1,-1,-1,-1,0,-1,-1,1,-1,-1
no hypertension. دقات قلبي غير منتظمة,-1,-1,1,-1,0,-1,-1,-1,-1,-1
"no hypertension. Also, لا أشعر بتعب",-1,-1,-1,-1,0,-1,-1,0,-1,-1
no history of high blood pressure. دقات قلبي غير منتظمة,-1,-1,1,-1,0,-1,-1,-1,-1,-1
no history of high blood pressure، وأحس بدوار خفيف,-1,-1,-1,-1,0,1,-1,-1,-1,-1
"أشعر بالدوخة. Also, ساقاي متورمتان",-1,-1,-1,-1,-1,1,-1,-1,1,-1
أشعر بالدوخة. تم تشخيصي بارتفاع الضغط,-1,-1,-1,-1,1,1,-1,-1,-1,-1
دوخة. my ankles are not swollen,-1,-1,-1,-1,-1,1,-1,-1,0,-1
دوخة. لا يوجد تعرق زائد,-1,-1,-1,-1,-1,1,0,-1,-1,-1
أحس بدوار خفيف. ليس لدي وجع بالصدر,0,-1,-1,-1,-1,1,-1,-1,-1,-1
"أحس بدوار خفيف. Also, دقات قلبي منتظمة",-1,-1,0,-1,-1,1,-1,-1,-1,-1
أشعر أنني سأفقد التوازن لكن لا يوجد ضيق نفس,-1,0,-1,-1,-1,1,-1,-1,-1,-1
